EC_number,Compound_Id(KEGG),Organism,KM,Stoich_coef,Direction,kcat,EC1,EC2,EC3,EC4,kcat/KM,kcat/kmax,Catalytic_group,order
3.1.4.16,C02353,Escherichia coli,17745,-1,-1,2.95,3,1,4,16,166.2440124,0.001340239,Phosphodiester,1
3.1.4.16,C06194,Escherichia coli,1600,-1,-1,2.95,3,1,4,16,1843.75,0.001340239,Phosphodiester,1
3.1.4.16,C02353,Fusarium culmorum,300,-1,-1,,3,1,4,16,,,Phosphodiester,1
3.1.4.16,C02354,Fusarium culmorum,600,-1,-1,,3,1,4,16,,,Phosphodiester,1
3.1.4.16,C02355,Fusarium culmorum,2000,-1,-1,,3,1,4,16,,,Phosphodiester,1
3.1.4.16,C06194,Fusarium culmorum,100,-1,-1,,3,1,4,16,,,Phosphodiester,1
3.1.4.16,C02353,Mycobacterium tuberculosis,1600,-1,-1,2.8,3,1,4,16,1750,0.001272091,Phosphodiester,1
3.1.4.16,C02353,Myxococcus xanthus,5.2,-1,-1,0.0006,3,1,4,16,115.3846154,2.73E-07,Phosphodiester,1
3.1.4.17,C00020,Myxococcus xanthus,1.5,1,1,0.004305,3,1,4,17,2870,1.96E-06,Phosphodiester,1
3.1.4.17,C00575,Arthrobacter sp.,6820,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00942,Arthrobacter sp.,12820,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00575,Bos taurus,12,-1,-1,617,3,1,4,17,51416666.67,0.280314388,Phosphodiester,1
3.1.4.17,C00942,Bos taurus,2.8,-1,-1,617,3,1,4,17,220357142.9,0.280314388,Phosphodiester,1
3.1.4.17,C00575,Dictyostelium discoideum,5,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00942,Dictyostelium discoideum,0.2,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00575,Drosophila melanogaster,19.5,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00942,Drosophila melanogaster,10.65,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00575,Homo sapiens,3.3,-1,-1,0.5,3,1,4,17,151515.1515,0.000227159,Phosphodiester,1
3.1.4.17,C00942,Homo sapiens,34,-1,-1,0.5,3,1,4,17,14705.88235,0.000227159,Phosphodiester,1
3.1.4.17,C00575,Mus musculus,107.5,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00942,Mus musculus,65,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.17,C00575,Myxococcus xanthus,5,-1,-1,0.000945,3,1,4,17,189,4.29E-07,Phosphodiester,1
3.1.4.17,C00942,Myxococcus xanthus,25,-1,-1,0.000945,3,1,4,17,37.8,4.29E-07,Phosphodiester,1
3.1.4.17,C00575,Saccharomyces cerevisiae,110,-1,-1,13.05,3,1,4,17,118636.3636,0.005928854,Phosphodiester,1
3.1.4.17,C00942,Saccharomyces cerevisiae,104.8,-1,-1,13.05,3,1,4,17,124522.9008,0.005928854,Phosphodiester,1
3.1.4.17,C00575,Sinorhizobium fredii,0.23,-1,-1,,3,1,4,17,,,Phosphodiester,1
3.1.4.2,C00670,Escherichia coli,280,-1,-1,,3,1,4,2,,,Phosphodiester,1
3.1.4.2,C00670,Rattus sp.,350,-1,-1,,3,1,4,2,,,Phosphodiester,1
3.1.4.35,C00942,Bos taurus,40.8,-1,-1,0.55,3,1,4,35,13480.39216,0.000249875,Phosphodiester,1
3.1.4.35,C00942,Canis lupus,2,-1,-1,,3,1,4,35,,,Phosphodiester,1
3.1.4.35,C00942,Cavia porcellus,16.11,-1,-1,,3,1,4,35,,,Phosphodiester,1
3.1.4.35,C00942,Dictyostelium discoideum,410,-1,-1,,3,1,4,35,,,Phosphodiester,1
3.1.4.35,C00942,Homo sapiens,5.8,-1,-1,2201.1,3,1,4,35,379500000,1,Phosphodiester,1
3.1.4.35,C00942,Oryctolagus cuniculus,2.3,-1,-1,,3,1,4,35,,,Phosphodiester,1
3.1.4.35,C00942,Plasmodium falciparum,0.65,-1,-1,,3,1,4,35,,,Phosphodiester,1
3.1.4.35,C00942,Rana catesbeiana,565,-1,-1,,3,1,4,35,,,Phosphodiester,1
3.1.4.35,C00942,Rattus norvegicus,1.5,-1,-1,,3,1,4,35,,,Phosphodiester,1
3.1.4.38,C00670,Bos taurus,5000,-1,-1,1,3,1,4,38,200,0.000454318,Phosphodiester,1
3.1.4.46,C00670,Daucus carota,43,-1,-1,,3,1,4,46,,,Phosphodiester,1
3.1.4.46,C00670,Escherichia coli,1100,-1,-1,3.2,3,1,4,46,2909.090909,0.001453819,Phosphodiester,1
3.1.4.52,C16463,Borrelia burgdorferi,0.0029,-1,-1,,3,1,4,52,,,Phosphodiester,1
3.1.4.52,C16463,Pseudomonas aeruginosa,4.2,-1,-1,0.53,3,1,4,52,126190.4762,0.000240789,Phosphodiester,1
3.1.4.52,C18076,Pseudomonas aeruginosa,27,1,1,0.0002,3,1,4,52,7.407407407,9.09E-08,Phosphodiester,1
3.1.4.53,C00575,Bos taurus,1.375,-1,-1,,3,1,4,53,,,Phosphodiester,1
3.1.4.53,C00575,Dictyostelium discoideum,10,-1,-1,,3,1,4,53,,,Phosphodiester,1
3.1.4.53,C00575,Homo sapiens,2.5,-1,-1,4,3,1,4,53,1600000,0.001817273,Phosphodiester,1
3.1.4.53,C00575,Leishmania mexicana,277,-1,-1,,3,1,4,53,,,Phosphodiester,1
3.1.4.53,C00575,Mus musculus,0.15,-1,-1,,3,1,4,53,,,Phosphodiester,1
3.1.4.53,C00575,Myxococcus xanthus,4.15,-1,-1,0.000945,3,1,4,53,227.7108434,4.29E-07,Phosphodiester,1
3.1.4.53,C00575,Pseudomonas aeruginosa,6.7,-1,-1,,3,1,4,53,,,Phosphodiester,1
3.1.4.53,C00575,Trypanosoma cruzi,101.1,-1,-1,,3,1,4,53,,,Phosphodiester,1
3.1.6.17,C17205,Pseudomonas syringae,6.7,-1,-1,,3,1,6,17,,,Phosphodiester,1
3.1.6.2,C04555,Homo sapiens,7.4,-1,-1,6.48,3,1,6,2,875675.6757,1,Phosphodiester,1
3.1.6.2,C04555,Macaca mulatta,36,-1,-1,,3,1,6,2,,,Phosphodiester,1
3.1.6.2,C18043,Homo sapiens,6.7,1,1,,3,1,6,2,,,Phosphodiester,1
3.1.7.2,C01228,Mycobacterium tuberculosis,410,-1,-1,2.985,3,1,7,2,7280.487805,1,Phosphodiester,1
3.1.7.5,C00353,Croton stellatopilosus,150,-1,-1,,3,1,7,5,,,Phosphodiester,1
3.1.7.6,C00448,Cricetulus griseus,15,-1,-1,,3,1,7,6,,,Phosphodiester,1
3.1.7.6,C00448,Rattus norvegicus,353.5,-1,-1,,3,1,7,6,,,Phosphodiester,1
3.1.8.1,C06604,Brevundimonas diminuta,600,-1,-1,1785,3,1,8,1,2975000,0.152564103,Phosphodiester,1
3.1.8.1,C06606,Brevundimonas diminuta,102,-1,-1,1785,3,1,8,1,17500000,0.152564103,Phosphodiester,1
3.1.8.1,C06604,Purpureocillium lilacinum,58,-1,-1,1217,3,1,8,1,20982758.62,0.104017094,Phosphodiester,1
3.1.8.1,C06606,Purpureocillium lilacinum,33,-1,-1,1217,3,1,8,1,36878787.88,0.104017094,Phosphodiester,1
3.1.8.1,C06604,Sulfolobus acidocaldarius,434,-1,-1,4.32,3,1,8,1,9953.917051,0.000369231,Phosphodiester,1
3.1.8.1,C06606,Sulfolobus acidocaldarius,320,-1,-1,4.32,3,1,8,1,13500,0.000369231,Phosphodiester,1
3.1.8.1,C06606,Bos taurus,80,-1,-1,,3,1,8,1,,,Phosphodiester,1
3.1.8.1,C06606,Escherichia coli,120,-1,-1,11700,3,1,8,1,97500000,1,Phosphodiester,1
3.1.8.1,C06606,Flavobacterium sp.,697,-1,-1,,3,1,8,1,,,Phosphodiester,1
3.1.8.1,C06606,Geobacillus stearothermophilus,2100,-1,-1,0.115,3,1,8,1,54.76190476,9.83E-06,Phosphodiester,1
3.1.8.1,C06606,Homo sapiens,786,-1,-1,4.25,3,1,8,1,5407.124682,0.000363248,Phosphodiester,1
3.1.8.1,C06606,Mus musculus,1400,-1,-1,0.0008,3,1,8,1,0.571428571,6.84E-08,Phosphodiester,1
3.1.8.1,C06606,Oryctolagus cuniculus,1094.5,-1,-1,8.1005,3,1,8,1,7401.096391,0.00069235,Phosphodiester,1
3.1.8.1,C06606,Rattus norvegicus,1660,-1,-1,,3,1,8,1,,,Phosphodiester,1
3.1.8.1,C06606,Sulfolobus islandicus,3100,-1,-1,2.06,3,1,8,1,664.516129,0.000176068,Phosphodiester,1
3.1.8.1,C06606,Sulfolobus solfataricus,1212,-1,-1,3.135,3,1,8,1,2586.633663,0.000267949,Phosphodiester,1
3.1.8.1,C06606,Vulcanisaeta moutnovskia,581,-1,-1,0.00108,3,1,8,1,1.858864028,9.23E-08,Phosphodiester,1
3.1.8.2,C00202,Alteromonas sp.,2990,-1,-1,406.5,3,1,8,2,135953.1773,0.03474359,Phosphodiester,1
3.1.8.2,C00202,Brevundimonas diminuta,48,-1,-1,465,3,1,8,2,9687500,0.03974359,Phosphodiester,1
3.1.8.2,C00202,Doryteuthis pealeii,4300,-1,-1,,3,1,8,2,,,Phosphodiester,1
3.1.8.2,C00202,Loligo vulgaris,13560,-1,-1,2091,3,1,8,2,154203.5398,0.178717949,Phosphodiester,1
3.1.4.52,,Klebsiella pneumoniae,,-1,-1,1.505,3,1,4,52,,0.000683749,Phosphodiester,1
3.1.8.2,,Pseudoalteromonas undina,,-1,-1,917,3,1,8,2,,0.078376068,Phosphodiester,1
3.2.1.10,C00089,Saccharomyces cerevisiae,145500,-1,-1,38,3,2,1,10,261.1683849,5.21E-06,Glycosyl,2
3.2.1.10,C00089,Suncus murinus,27500,-1,-1,,3,2,1,10,,,Glycosyl,2
3.2.1.105,C03470,Catharanthus roseus,210,-1,-1,,3,2,1,105,,,Glycosyl,2
3.2.1.105,C03470,Rauvolfia serpentina,120,-1,-1,,3,2,1,105,,,Glycosyl,2
3.2.1.105,C03470,Strychnos mellodora,120,-1,-1,,3,2,1,105,,,Glycosyl,2
3.2.1.105,C03470,Tabernaemontana divaricata,625,-1,-1,,3,2,1,105,,,Glycosyl,2
3.2.1.117,C08325,Prunus serotina,1945,1,1,,3,2,1,117,,,Glycosyl,2
3.2.1.122,C00689,Klebsiella pneumoniae,1160,-1,-1,,3,2,1,122,,,Glycosyl,2
3.2.1.126,C00761,Agrobacterium tumefaciens,23,-1,-1,106,3,2,1,126,4608695.652,1.45E-05,Glycosyl,2
3.2.1.126,C00761,Arabidopsis thaliana,7000,-1,-1,,3,2,1,126,,,Glycosyl,2
3.2.1.126,C01533,Arabidopsis thaliana,5100,-1,-1,,3,2,1,126,,,Glycosyl,2
3.2.1.126,C00761,Picea abies,840,-1,-1,,3,2,1,126,,,Glycosyl,2
3.2.1.126,C01533,Picea abies,1800,-1,-1,,3,2,1,126,,,Glycosyl,2
3.2.1.126,C00761,Pinus contorta,180,-1,-1,,3,2,1,126,,,Glycosyl,2
3.2.1.126,C01533,Pinus contorta,290,-1,-1,,3,2,1,126,,,Glycosyl,2
3.2.1.126,C01533,Cicer arietinum,5000,-1,-1,,3,2,1,126,,,Glycosyl,2
3.2.1.167,C10025,Escherichia coli,275,-1,-1,,3,2,1,167,,,Glycosyl,2
3.2.1.167,C10025,Lactobacillus brevis,1620,-1,-1,19.9,3,2,1,167,12283.95062,2.73E-06,Glycosyl,2
3.2.1.167,C10025,Scutellaria baicalensis,10.95,-1,-1,639,3,2,1,167,58356164.38,8.75E-05,Glycosyl,2
3.2.1.168,C09755,Acremonium sp.,1800,-1,-1,32.4,3,2,1,168,18000,4.44E-06,Glycosyl,2
3.2.1.20,C00089,Apis cerana,15300,-1,-1,845,3,2,1,20,55228.75817,0.000115753,Glycosyl,2
3.2.1.20,C00089,Apis mellifera,30000,-1,-1,,3,2,1,20,,,Glycosyl,2
3.2.1.20,C00089,Drosophila melanogaster,10000,-1,-1,,3,2,1,20,,,Glycosyl,2
3.2.1.20,C00089,Ferroplasma acidiphilum,320,-1,-1,94,3,2,1,20,293750,1.29E-05,Glycosyl,2
3.2.1.20,C00089,Saccharomyces cerevisiae,44000,-1,-1,,3,2,1,20,,,Glycosyl,2
3.2.1.22,C00492,Arabidopsis thaliana,105000,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Aspergillus nidulans,15000,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Aspergillus nidulans,12000,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Aspergillus tamarii,27700,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Aspergillus tamarii,3750,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Aspergillus terreus,27930,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Aspergillus terreus,7390,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Bacteroides ovatus,52000,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Bacteroides ovatus,11550,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Bifidobacterium breve,660,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Bifidobacterium breve,2140,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Cucumis sativus,5750,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Cucumis sativus,3250,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Debaryomyces hansenii,32800,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Debaryomyces hansenii,2120,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Geobacillus stearothermophilus,101900,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Geobacillus stearothermophilus,32000,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Gibberella sp.,54260,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Gibberella sp.,1750,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Glycine max,5340,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Glycine max,5530,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Oryza sativa,18000,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Oryza sativa,25400,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Penicillium canescens,1245,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Saccharomyces cerevisiae,54100,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Saccharomyces cerevisiae,11200,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Solanum lycopersicum,2250,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Spodoptera frugiperda,4800,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Spodoptera frugiperda,1700,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Tachigali multijuga,39620,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Tachigali multijuga,5370,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Tenebrio molitor,4400,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Tenebrio molitor,6300,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Thermomyces lanuginosus,6455,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Thermomyces lanuginosus,2400,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Thermotoga maritima,2100,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Thermotoga neapolitana,5320,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Thermotoga neapolitana,15110,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Vicia faba,4500,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Vicia faba,865,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C00492,Vigna unguiculata,4600,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Aspergillus tamarii,35500,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Aspergillus terreus,10940,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Bacteroides ovatus,4400,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Cucumis sativus,20000,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Debaryomyces hansenii,10800,-1,-1,4.12,3,2,1,22,381.4814815,5.64E-07,Glycosyl,2
3.2.1.22,C01613,Flavobacterium sp.,14760,-1,-1,22.185,3,2,1,22,1503.04878,3.04E-06,Glycosyl,2
3.2.1.22,C01613,Gibberella sp.,8230,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Oryza sativa,7800,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Penicillium canescens,10610,-1,-1,550.445,3,2,1,22,51879.83035,7.54E-05,Glycosyl,2
3.2.1.22,C01613,Solanum lycopersicum,3100,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Spodoptera frugiperda,7200,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Tachigali multijuga,48800,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Tenebrio molitor,3800,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Thermomyces lanuginosus,1170,-1,-1,3489.2,3,2,1,22,2982222.222,0.000477973,Glycosyl,2
3.2.1.22,C01613,Vicia faba,6380,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C01613,Vigna unguiculata,13000,-1,-1,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Aspergillus niger,695,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Flavobacterium sp.,12580,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Rhizopus sp.,33000,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Saccharopolyspora erythraea,1400,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.22,C05402,Sphingomonas sp.,29400,0,0,,3,2,1,22,,,Glycosyl,2
3.2.1.26,C00089,Allium cepa,7300,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Arabidopsis thaliana,8500,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Arthrobacter globiformis,2400,-1,-1,127,3,2,1,26,52916.66667,1.74E-05,Glycosyl,2
3.2.1.26,C00089,Aspergillus fumigatus,9050,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00492,Aspergillus fumigatus,12150,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Aspergillus niger,2000,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Aspergillus ochraceus,8450,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00492,Aspergillus ochraceus,5935,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Aspergillus terreus,17300,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Aureobasidium pullulans,230000,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Aureobasidium sp.,1040,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Avena sativa,4550,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00492,Avena sativa,9950,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C01613,Avena sativa,19500,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Bambusa oldhamii,53680,-1,-1,501.7,3,2,1,26,9346.125186,6.87E-05,Glycosyl,2
3.2.1.26,C00089,Beta vulgaris,4100,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Bifidobacterium adolescentis,38000,-1,-1,79.4,3,2,1,26,2089.473684,1.09E-05,Glycosyl,2
3.2.1.26,C00089,Cyberlindnera jadinii,16660,-1,-1,1078,3,2,1,26,64705.88235,0.000147671,Glycosyl,2
3.2.1.26,C00089,Daucus carota,16900,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00492,Daucus carota,20700,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Fusarium oxysporum,3250,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Fusarium solani,3570,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Helianthus tuberosus,21000,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Hordeum vulgare,1700,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Ipomoea batatas,10100,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00492,Ipomoea batatas,32190,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Kluyveromyces marxianus,17300,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Lactobacillus paracasei,398000,-1,-1,84,3,2,1,26,211.0552764,1.15E-05,Glycosyl,2
3.2.1.26,C00492,Lactobacillus paracasei,392000,-1,-1,84,3,2,1,26,214.2857143,1.15E-05,Glycosyl,2
3.2.1.26,C00089,Lilium auratum,815,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Lilium longiflorum,6400,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00492,Lilium longiflorum,10800,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Paecilomyces variotii,2500,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Phyllostachys edulis,7300,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Pisum sativum,4410,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Pyrus pyrifolia,3955,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Rhodotorula glutinis,227000,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Saccharomyces cerevisiae,25800,-1,-1,3430,3,2,1,26,132945.7364,0.000469863,Glycosyl,2
3.2.1.26,C00492,Saccharomyces cerevisiae,150000,-1,-1,3430,3,2,1,26,22866.66667,0.000469863,Glycosyl,2
3.2.1.26,C00089,Saccharum officinarum,56000,-1,-1,21,3,2,1,26,375,2.88E-06,Glycosyl,2
3.2.1.26,C00089,Schwanniomyces occidentalis,4900,-1,-1,84,3,2,1,26,17142.85714,1.15E-05,Glycosyl,2
3.2.1.26,C00492,Schwanniomyces occidentalis,1300,-1,-1,84,3,2,1,26,64615.38462,1.15E-05,Glycosyl,2
3.2.1.26,C00089,Solanum lycopersicum,4760,-1,-1,1384,3,2,1,26,290756.3025,0.000189589,Glycosyl,2
3.2.1.26,C00492,Solanum lycopersicum,21050,-1,-1,1384,3,2,1,26,65748.21853,0.000189589,Glycosyl,2
3.2.1.26,C00089,Thermotoga neapolitana,14000,-1,-1,7300000,3,2,1,26,521428571.4,1,Glycosyl,2
3.2.1.26,C00089,Triticum aestivum,2600,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00492,Triticum aestivum,19600,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Uromyces viciae-fabae,27100,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Woodfordia fruticosa,160000,-1,-1,,3,2,1,26,,,Glycosyl,2
3.2.1.26,C00089,Xanthophyllomyces dendrorhous,4000,-1,-1,5.7,3,2,1,26,1425,7.81E-07,Glycosyl,2
3.2.1.26,C00089,Zymomonas mobilis,98000,-1,-1,12000,3,2,1,26,122448.9796,0.001643836,Glycosyl,2
3.2.1.26,C00089,uncultured bacterium,10130,-1,-1,1448,3,2,1,26,142941.7572,0.000198356,Glycosyl,2
3.2.1.28,C01083,Apis mellifera,520,-1,-1,662,3,2,1,28,1273076.923,9.07E-05,Glycosyl,2
3.2.1.28,C01083,Blastobotrys adeninivorans,900,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Bombyx mori,440,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Chaetomium thermophilum,630,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Chironomus riparius,480,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Cicer arietinum,3640,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Escherichia coli,500,-1,-1,199,3,2,1,28,398000,2.73E-05,Glycosyl,2
3.2.1.28,C01083,Isoptera,31,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Metarhizium anisopliae,2300,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Mycobacterium smegmatis,20000,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Neurospora crassa,42000,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Nostoc punctiforme,18000,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Oryctolagus cuniculus,3400,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Phaseolus vulgaris,109,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Phycomyces blakesleeanus,55000,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Rattus norvegicus,8000,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Rhizopus microsporus,200,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Rhodnius prolixus,1420,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Rhodothermus marinus,215,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Saccharomyces cerevisiae,5280,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Schizosaccharomyces pombe,10.9,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Scytalidium thermophilum,2910,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.28,C01083,Spodoptera frugiperda,470,-1,-1,730,3,2,1,28,1553191.489,0.0001,Glycosyl,2
3.2.1.28,C01083,Tenebrio molitor,430,-1,-1,,3,2,1,28,,,Glycosyl,2
3.2.1.48,C00089,Mus musculus,113350,-1,-1,,3,2,1,48,,,Glycosyl,2
3.2.1.48,C00089,Oryctolagus cuniculus,18950,-1,-1,,3,2,1,48,,,Glycosyl,2
3.2.1.48,C00089,Saccharomyces cerevisiae,11500,-1,-1,,3,2,1,48,,,Glycosyl,2
3.2.1.48,C00089,Xanthomonas axonopodis,2320,-1,-1,66.45,3,2,1,48,28642.24138,9.10E-06,Glycosyl,2
3.2.1.86,C04534,Streptococcus pneumoniae,1135,-1,-1,170,3,2,1,86,149779.7357,2.33E-05,Glycosyl,2
3.2.1.86,C06188,Escherichia coli,510,-1,-1,,3,2,1,86,,,Glycosyl,2
3.2.2.1,C00212,Arabidopsis thaliana,43.1,-1,-1,,3,2,2,1,,,Glycosyl,2
3.2.2.1,C00294,Arabidopsis thaliana,97.2,-1,-1,,3,2,2,1,,,Glycosyl,2
